speaker,person_id,wikidata,name2use
uk.org.publicwhip/lord/100787,uk.org.publicwhip/person/13198,Q1619191,Patricia Morris
uk.org.publicwhip/lord/100964,uk.org.publicwhip/person/13938,Q1621132,Susan Elizabeth Lady Garden
uk.org.publicwhip/lord/100243,uk.org.publicwhip/person/12918,Q1628019,Robert Goff
uk.org.publicwhip/lord/100326,uk.org.publicwhip/person/13492,Q16293034,Royston Islwyn
uk.org.publicwhip/lord/100657,uk.org.publicwhip/person/13269,Q16320490,Nicholas Vivian
uk.org.publicwhip/lord/100832,uk.org.publicwhip/person/13177,Q1634584,Hugh Trenchard
uk.org.publicwhip/lord/100550,uk.org.publicwhip/person/13005,Q1636045,John Roper
uk.org.publicwhip/lord/100807,uk.org.publicwhip/person/13054,Q1638459,Alec Broers
uk.org.publicwhip/lord/100656,uk.org.publicwhip/person/13270,Q164451,Nigel Vinson
uk.org.publicwhip/lord/100231,uk.org.publicwhip/person/13062,Q1650100,Robert Gavron
uk.org.publicwhip/lord/101128,uk.org.publicwhip/person/25066,Q1650698,Sarah Virginia Brinton
uk.org.publicwhip/lord/100030,uk.org.publicwhip/person/13526,Q1651801,Willy Bach
uk.org.publicwhip/lord/101037,uk.org.publicwhip/person/24992,Q1654013,James Younger
uk.org.publicwhip/lord/100819,uk.org.publicwhip/person/12843,Q1655388,Iain Vallance
uk.org.publicwhip/lord/100497,uk.org.publicwhip/person/13596,Q1655490,Ian Patrick Martyn Cundy 
uk.org.publicwhip/lord/100406,uk.org.publicwhip/person/13127,Q1655563,Ian MacLaurin
uk.org.publicwhip/lord/100394,uk.org.publicwhip/person/13564,Q1655577,Ian McColl
uk.org.publicwhip/lord/100980,uk.org.publicwhip/person/14138,Q1657706,Igor Judge
uk.org.publicwhip/lord/101137,uk.org.publicwhip/person/25148,Q1661016,Indarjit Singh
uk.org.publicwhip/lord/100794,uk.org.publicwhip/person/13477,Q1663616,Roger Roberts
uk.org.publicwhip/lord/100938,uk.org.publicwhip/person/13883,Q1667151,John Packer 
uk.org.publicwhip/lord/100692,uk.org.publicwhip/person/13619,Q167028,David Wilson
uk.org.publicwhip/lord/100845,uk.org.publicwhip/person/10464,Q1672680,Martin O'Neill
uk.org.publicwhip/lord/101204,uk.org.publicwhip/person/25228,Q16729331,Godfrey Bewicke-Copley Cromwell
uk.org.publicwhip/lord/100092,uk.org.publicwhip/person/13342,Q16739490,Hugh Burnham
uk.org.publicwhip/lord/100067,uk.org.publicwhip/person/12984,Q1675820,Ivon Brabazon
uk.org.publicwhip/lord/101151,uk.org.publicwhip/person/12984,Q1675820,Ivon Brabazon
uk.org.publicwhip/lord/100370,uk.org.publicwhip/person/13649,Q1677098,Jack Lewis
uk.org.publicwhip/lord/100454,uk.org.publicwhip/person/13709,Q1678324,John Martin Wharton 
uk.org.publicwhip/lord/100060,uk.org.publicwhip/person/12981,Q1680044,James Blyth
uk.org.publicwhip/lord/100132,uk.org.publicwhip/person/13519,Q1680173,James Clyde
uk.org.publicwhip/lord/100150,uk.org.publicwhip/person/12952,Q1680306,Charles Crathorne
uk.org.publicwhip/lord/100247,uk.org.publicwhip/person/12922,Q1680463,James Gordon
uk.org.publicwhip/lord/100433,uk.org.publicwhip/person/13285,Q1680843,James Molyneaux
uk.org.publicwhip/lord/101012,uk.org.publicwhip/person/24971,Q1681078,James Meyer Sassoon
uk.org.publicwhip/lord/100376,uk.org.publicwhip/person/13297,Q1681147,James Jones 
uk.org.publicwhip/lord/101181,uk.org.publicwhip/person/25200,Q1681305,James William Scobie Newcome 
uk.org.publicwhip/lord/100840,uk.org.publicwhip/person/13149,Q168177,David Ramsbotham
uk.org.publicwhip/lord/100798,uk.org.publicwhip/person/13475,Q168179,Margaret Prosser
uk.org.publicwhip/lord/100503,uk.org.publicwhip/person/13424,Q168184,Jill Pitkeathley
uk.org.publicwhip/lord/100230,uk.org.publicwhip/person/13063,Q168235,Tristan Garel-Jones
uk.org.publicwhip/lord/100810,uk.org.publicwhip/person/12838,Q1682576,Jane Bonham-Carter
uk.org.publicwhip/lord/100950,uk.org.publicwhip/person/13921,Q1682580,Jane Campbell
uk.org.publicwhip/lord/100397,uk.org.publicwhip/person/13567,Q1685695,Jean McFarlane
uk.org.publicwhip/lord/101041,uk.org.publicwhip/person/10546,Q168606,Angela Smith / Angela Evans Smith
uk.org.publicwhip/lord/101033,uk.org.publicwhip/person/24990,Q1686060,Jean Lesley Patricia Drake
uk.org.publicwhip/lord/100609,uk.org.publicwhip/person/13338,Q1686495,Jeffrey Sterling
uk.org.publicwhip/lord/100291,uk.org.publicwhip/person/13224,Q1686949,Jenny Hilton
uk.org.publicwhip/lord/101119,uk.org.publicwhip/person/25053,Q1687064,Jennifer Elizabeth Randerson
uk.org.publicwhip/lord/101066,uk.org.publicwhip/person/25009,Q1687580,Jeremy Hugh Beecham
uk.org.publicwhip/lord/101179,uk.org.publicwhip/person/14080,Q1687620,Jeremy Purvis
uk.org.publicwhip/lord/101111,uk.org.publicwhip/person/25045,Q1690715,Joan Dawson Bakewell
uk.org.publicwhip/lord/100577,uk.org.publicwhip/person/13144,Q1690778,Joan Seccombe
uk.org.publicwhip/lord/100667,uk.org.publicwhip/person/13113,Q1690787,Joan Walmsley
uk.org.publicwhip/lord/101122,uk.org.publicwhip/person/25057,Q1691253,Graham Eric Stirrup
uk.org.publicwhip/lord/100432,uk.org.publicwhip/person/13286,Q1692749,Parry Mitchell
uk.org.publicwhip/lord/100675,uk.org.publicwhip/person/12899,Q1699145,John Waverley
uk.org.publicwhip/lord/100143,uk.org.publicwhip/person/12871,Q1699659,John Cope
