person_id,family_name,given_name,item
uk.org.publicwhip/person/17624,Guy,William,http://www.wikidata.org/entity/Q8012016
uk.org.publicwhip/person/17668,Hannan,William,http://www.wikidata.org/entity/Q8010828
uk.org.publicwhip/person/17657,Hamling,William,http://www.wikidata.org/entity/Q8010776
uk.org.publicwhip/person/22568,Griffiths,William,http://www.wikidata.org/entity/Q8010224
uk.org.publicwhip/person/19733,Bennett,William,http://www.wikidata.org/entity/Q8010017
uk.org.publicwhip/person/18582,Neill,William,http://www.wikidata.org/entity/Q8009400
uk.org.publicwhip/person/22213,Foster,William,http://www.wikidata.org/entity/Q8009247
uk.org.publicwhip/person/22229,Edwards,William,http://www.wikidata.org/entity/Q8008480
uk.org.publicwhip/person/17265,Duthie,William,http://www.wikidata.org/entity/Q8008153
uk.org.publicwhip/person/17184,Dobbie,William,http://www.wikidata.org/entity/Q8007862
uk.org.publicwhip/person/17979,Kendall,William,http://www.wikidata.org/entity/Q8007757
uk.org.publicwhip/person/22250,Darling,William,http://www.wikidata.org/entity/Q8007591
uk.org.publicwhip/person/17115,Cuthbert,William,http://www.wikidata.org/entity/Q8007416
uk.org.publicwhip/person/22215,Craig,William,http://www.wikidata.org/entity/Q8007229
uk.org.publicwhip/person/17062,Cove,William,http://www.wikidata.org/entity/Q8007183
uk.org.publicwhip/person/17009,Coldrick,William,http://www.wikidata.org/entity/Q8006968
uk.org.publicwhip/person/22234,Brown,William,http://www.wikidata.org/entity/Q8006026
uk.org.publicwhip/person/22242,Benyon,William,http://www.wikidata.org/entity/Q8005435
uk.org.publicwhip/person/16485,Anstruther-Gray,William,http://www.wikidata.org/entity/Q8004479
uk.org.publicwhip/person/19697,Allen,William,http://www.wikidata.org/entity/Q8004339
uk.org.publicwhip/person/16444,Aitken,William,http://www.wikidata.org/entity/Q8004211
uk.org.publicwhip/person/19520,Wilkins,William,http://www.wikidata.org/entity/Q8004080
uk.org.publicwhip/person/22231,Owen,William,http://www.wikidata.org/entity/Q8003001
uk.org.publicwhip/person/18566,Nally,Will,http://www.wikidata.org/entity/Q8002988
